DT_1,PRECIP,DUR,INT,ANT,BTW,CUM,SUM_BEF_TTH,SUM_AFT_TTH,D_CON,T_CON,SID,INT_BEF_30,INT_AFT_30
2000-01-01T09:01:00Z,0.0635,1,3.81,1,0,1,0.0635,33.0199998984,TRUE,FALSE,1,0.127,9.9906667344
2000-01-01T09:02:00Z,0.0635,1,3.81,1,0,2,0.127,32.9564998984,TRUE,FALSE,1,0.254,11.1618889792
2000-01-01T09:03:00Z,0.0635,1,3.81,1,0,3,0.1905,32.8929998984,TRUE,FALSE,1,0.381,12.333111224
2000-01-01T09:04:00Z,0.0635,1,3.81,1,0,4,0.254,32.8294998984,TRUE,FALSE,1,0.508,13.5043334688
2000-01-01T09:05:00Z,0.0635,1,3.81,1,0,5,0.3175,32.7659998984,TRUE,FALSE,1,0.635,14.6755557136
2000-01-01T09:06:00Z,0.0635,1,3.81,1,0,6,0.381,32.7024998984,TRUE,FALSE,1,0.762,15.8467779584
2000-01-01T09:07:00Z,0.0635,1,3.81,1,0,7,0.4445,32.6389998984,TRUE,FALSE,1,0.889,17.0180002032
2000-01-01T09:08:00Z,0.0635,1,3.81,1,0,8,0.508,32.5754998984,TRUE,FALSE,1,1.016,19.4310002032
2000-01-01T09:09:00Z,0.0635,1,3.81,1,0,9,0.5715,32.5119998984,TRUE,FALSE,1,1.143,21.8440002032
2000-01-01T09:10:00Z,0.0635,1,3.81,1,0,10,0.635,32.4484998984,TRUE,FALSE,1,1.27,24.2570002032
2000-01-01T09:11:00Z,0.0635,1,3.81,1,0,11,0.6985,32.3849998984,TRUE,FALSE,1,1.397,26.6700002032
2000-01-01T09:12:00Z,0.0635,1,3.81,1,0,12,0.762,32.3214998984,TRUE,FALSE,1,1.524,29.0830002032
2000-01-01T09:13:00Z,0.0635,1,3.81,1,0,13,0.8255,32.2579998984,TRUE,FALSE,1,1.651,31.4960002032
2000-01-01T09:14:00Z,0.0635,1,3.81,1,0,14,0.889,32.1944998984,TRUE,FALSE,1,1.778,33.9090002032
2000-01-01T09:15:00Z,0.0635,1,3.81,1,0,15,0.9525,32.1309998984,TRUE,FALSE,1,1.905,36.3220002032
2000-01-01T09:16:00Z,0.0635,1,3.81,1,0,16,1.016,32.0674998984,TRUE,FALSE,1,2.032,38.7350002032
2000-01-01T09:17:00Z,0.0635,1,3.81,1,0,17,1.0795,32.0039998984,TRUE,FALSE,1,2.159,41.1480002032
2000-01-01T09:18:00Z,0.0635,1,3.81,1,0,18,1.143,31.9404998984,TRUE,FALSE,1,2.286,43.5610002032
2000-01-01T09:19:00Z,0.0635,1,3.81,1,0,19,1.2065000000000001,31.8769998984,TRUE,FALSE,1,2.4130000000000003,45.9740002032
2000-01-01T09:20:00Z,0.0635,1,3.81,1,0,20,1.27,31.8134998984,TRUE,FALSE,1,2.54,48.3870002032
2000-01-01T09:21:00Z,0.254,1,15.24,1,0,21,1.524,31.7499998984,TRUE,FALSE,1,3.048,50.8000002032
2000-01-01T09:22:00Z,0.254,1,15.24,1,0,22,1.778,31.4959998984,TRUE,FALSE,1,3.556,51.380571610000004
2000-01-01T09:23:00Z,0.254,1,15.24,1,0,23,2.032,31.2419998984,TRUE,FALSE,1,4.064,51.9611430168
2000-01-01T09:24:00Z,0.254,1,15.24,1,0,24,2.286,30.9879998984,TRUE,FALSE,1,4.572,52.5417144236
2000-01-01T09:25:00Z,0.254,1,15.24,1,0,25,2.54,30.7339998984,TRUE,FALSE,1,5.08,53.1222858304
2000-01-01T09:26:00Z,0.254,1,15.24,1,0,26,2.794,30.4799998984,TRUE,FALSE,1,5.588,53.7028572372
2000-01-01T09:27:00Z,0.254,1,15.24,1,0,27,3.048,30.2259998984,TRUE,FALSE,1,6.096,54.283428644
2000-01-01T09:28:00Z,0.6491111224,1,38.946667344000005,1,0,28,3.6971111224,29.9719998984,TRUE,FALSE,1,7.3942222448,54.8640000508
2000-01-01T09:29:00Z,0.6491111224,1,38.946667344000005,1,0,29,4.3462222448,29.322888776,TRUE,FALSE,1,8.6924444896,53.883277806
2000-01-01T09:30:00Z,0.6491111224,1,38.946667344000005,1,0,30,4.9953333672,28.6737776536,TRUE,FALSE,1,9.9906667344,52.9025555612
2000-01-01T09:31:00Z,0.6491111224,1,38.946667344000005,1,0,31,5.6444444896,28.0246665312,TRUE,FALSE,1,11.1618889792,51.9218333164
2000-01-01T09:32:00Z,0.6491111224,1,38.946667344000005,1,0,32,6.2935556120000005,27.3755554088,TRUE,FALSE,1,12.333111224,50.9411110716
2000-01-01T09:33:00Z,0.6491111224,1,38.946667344000005,1,0,33,6.9426667344,26.7264442864,TRUE,FALSE,1,13.5043334688,49.9603888268
2000-01-01T09:34:00Z,0.6491111224,1,38.946667344000005,1,0,34,7.5917778568,26.077333164,TRUE,FALSE,1,14.6755557136,48.979666582
2000-01-01T09:35:00Z,0.6491111224,1,38.946667344000005,1,0,35,8.240888979200001,25.428222041599998,TRUE,FALSE,1,15.8467779584,47.9989443372
2000-01-01T09:36:00Z,0.6491111224,1,38.946667344000005,1,0,36,8.8900001016,24.7791109192,TRUE,FALSE,1,17.0180002032,47.0182220924
2000-01-01T09:37:00Z,1.27,1,76.2,1,0,37,10.1600001016,24.1299997968,TRUE,FALSE,1,19.4310002032,45.7199998476
2000-01-01T09:38:00Z,1.27,1,76.2,1,0,38,11.430000101600001,22.8599997968,TRUE,FALSE,1,21.8440002032,43.1799998476
2000-01-01T09:39:00Z,1.27,1,76.2,1,0,39,12.7000001016,21.5899997968,TRUE,FALSE,1,24.2570002032,40.6399998476
2000-01-01T09:40:00Z,1.27,1,76.2,1,0,40,13.9700001016,20.3199997968,TRUE,FALSE,1,26.6700002032,38.0999998476
2000-01-01T09:41:00Z,1.27,1,76.2,1,0,41,15.2400001016,19.049999796799998,TRUE,FALSE,1,29.0830002032,35.5599998476
2000-01-01T09:42:00Z,1.27,1,76.2,1,0,42,16.5100001016,17.7799997968,TRUE,FALSE,1,31.4960002032,33.0199998476
2000-01-01T09:43:00Z,1.27,1,76.2,1,0,43,17.7800001016,16.5099997968,TRUE,FALSE,1,33.9090002032,30.4799998476
2000-01-01T09:44:00Z,1.27,1,76.2,1,0,44,19.050000101600002,15.2399997968,TRUE,FALSE,1,36.3220002032,27.9399998476
2000-01-01T09:45:00Z,1.27,1,76.2,1,0,45,20.3200001016,13.9699997968,TRUE,FALSE,1,38.7350002032,25.3999998476
2000-01-01T09:46:00Z,1.27,1,76.2,1,0,46,21.5900001016,12.6999997968,TRUE,FALSE,1,41.1480002032,22.8599998476
2000-01-01T09:47:00Z,1.27,1,76.2,1,0,47,22.8600001016,11.429999796799999,TRUE,FALSE,1,43.5610002032,20.489333163999998
2000-01-01T09:48:00Z,1.27,1,76.2,1,0,48,24.1300001016,10.1599997968,TRUE,FALSE,1,45.9740002032,18.118666480399998
2000-01-01T09:49:00Z,1.27,1,76.2,1,0,49,25.4000001016,8.8899997968,TRUE,FALSE,1,48.3870002032,15.747999796799999
2000-01-01T09:50:00Z,1.27,1,76.2,1,0,50,26.6700001016,7.619999796799999,TRUE,FALSE,1,50.8000002032,13.377333113199999
2000-01-01T09:51:00Z,0.5442857033999999,1,32.657142203999996,1,0,51,27.214285805,6.3499997968,TRUE,FALSE,1,51.380571610000004,11.0066664296
2000-01-01T09:52:00Z,0.5442857033999999,1,32.657142203999996,1,0,52,27.7585715084,5.8057140934,TRUE,FALSE,1,51.9611430168,10.087428339199999
2000-01-01T09:53:00Z,0.5442857033999999,1,32.657142203999996,1,0,53,28.3028572118,5.26142839,TRUE,FALSE,1,52.5417144236,9.168190248799998
2000-01-01T09:54:00Z,0.5442857033999999,1,32.657142203999996,1,0,54,28.8471429152,4.7171426866,TRUE,FALSE,1,53.1222858304,8.2489521584
2000-01-01T09:55:00Z,0.5442857033999999,1,32.657142203999996,1,0,55,29.3914286186,4.1728569832,TRUE,FALSE,1,53.7028572372,7.3297140679999995
2000-01-01T09:56:00Z,0.5442857033999999,1,32.657142203999996,1,0,56,29.935714322,3.6285712797999996,TRUE,FALSE,1,54.283428644,6.4104759776
2000-01-01T09:57:00Z,0.5442857033999999,1,32.657142203999996,1,0,57,30.4800000254,3.0842855763999997,TRUE,FALSE,1,54.8640000508,5.4912378872
2000-01-01T09:58:00Z,0.15875,1,9.525,1,0,58,30.6387500254,2.5399998729999997,TRUE,FALSE,1,53.883277806,4.5719997968
2000-01-01T09:59:00Z,0.15875,1,9.525,1,0,59,30.7975000254,2.381249873,TRUE,FALSE,1,52.9025555612,4.4238331132
2000-01-01T10:00:00Z,0.15875,1,9.525,1,0,60,30.9562500254,2.222499873,TRUE,FALSE,1,51.9218333164,4.2756664296
2000-01-01T10:01:00Z,0.15875,1,9.525,1,0,61,31.1150000254,2.063749873,TRUE,FALSE,1,50.9411110716,4.127499746
2000-01-01T10:02:00Z,0.15875,1,9.525,1,0,62,31.2737500254,1.904999873,TRUE,FALSE,1,49.9603888268,3.809999746
2000-01-01T10:03:00Z,0.15875,1,9.525,1,0,63,31.4325000254,1.746249873,TRUE,FALSE,1,48.979666582,3.492499746
2000-01-01T10:04:00Z,0.15875,1,9.525,1,0,64,31.5912500254,1.5874998729999998,TRUE,FALSE,1,47.9989443372,3.1749997459999997
