DT_1,PRECIP,DT_3,MAX_TEMP,MIN_TEMP,SO_RAD,W_VEL,W_DIR,DP_TEMP,STATION,LAT,LON,ELEV
2000-1-1 04:00:00,0,2000-1-1 00:00:00,30,20,200,1,0,15,AH537_5MIN,,,
2000-1-1 04:05:00,0.01,2000-1-2 00:00:00,30,20,200,1,0,15,,,,
2000-1-1 04:10:00,0.01,,,,,,,,,,,
2000-1-1 04:15:00,0.01,,,,,,,,,,,
2000-1-1 04:20:00,0.02,,,,,,,,,,,
2000-1-1 04:25:00,0.05,,,,,,,,,,,
2000-1-1 04:30:00,0.1,,,,,,,,,,,
2000-1-1 04:35:00,0.12,,,,,,,,,,,
2000-1-1 04:40:00,0.23,,,,,,,,,,,
2000-1-1 04:45:00,0.25,,,,,,,,,,,
2000-1-1 04:50:00,0.25,,,,,,,,,,,
2000-1-1 04:55:00,0.11,,,,,,,,,,,
2000-1-1 05:00:00,0.06,,,,,,,,,,,
2000-1-1 05:05:00,0.03,,,,,,,,,,,
2000-1-1 05:10:00,0,,,,,,,,,,,
2000-1-1 05:15:00,0,,,,,,,,,,,
2000-1-1 05:20:00,0.01,,,,,,,,,,,
2000-1-1 05:25:00,0.02,,,,,,,,,,,
2000-1-1 05:30:00,0.02,,,,,,,,,,,
